Type,Red,Yellow,White,Brightness,Color,SeedBag,ID,Source
Rose,0,0,0,0,White,0,60261,0
Rose,0,0,0,1,White,0,60261,0
Rose,0,0,0,2,White,0,60261,0
Rose,0,0,1,0,White,1,60261,1
Rose,0,0,1,1,White,0,60261,0
Rose,0,0,1,2,White,0,60261,0
Rose,0,0,2,0,Purple,0,60276,0
Rose,0,0,2,1,Purple,0,60276,0
Rose,0,0,2,2,Purple,0,60276,0
Rose,0,1,0,0,Yellow,0,60267,0
Rose,0,1,0,1,Yellow,0,60267,0
Rose,0,1,0,2,Yellow,0,60267,0
Rose,0,1,1,0,White,0,60261,0
Rose,0,1,1,1,White,0,60261,0
Rose,0,1,1,2,White,0,60261,0
Rose,0,1,2,0,Purple,0,60276,0
Rose,0,1,2,1,Purple,0,60276,0
Rose,0,1,2,2,Purple,0,60276,0
Rose,0,2,0,0,Yellow,1,60267,1
Rose,0,2,0,1,Yellow,0,60267,0
Rose,0,2,0,2,Yellow,0,60267,0
Rose,0,2,1,0,Yellow,0,60267,0
Rose,0,2,1,1,Yellow,0,60267,0
Rose,0,2,1,2,Yellow,0,60267,0
Rose,0,2,2,0,White,0,60261,0
Rose,0,2,2,1,White,0,60261,0
Rose,0,2,2,2,White,0,60261,0
Rose,1,0,0,0,Red,0,60264,0
Rose,1,0,0,1,Pink,0,60270,0
Rose,1,0,0,2,White,0,60261,0
Rose,1,0,1,0,Red,0,60264,0
Rose,1,0,1,1,Pink,0,60270,0
Rose,1,0,1,2,White,0,60261,0
Rose,1,0,2,0,Red,0,60264,0
Rose,1,0,2,1,Pink,0,60270,0
Rose,1,0,2,2,Purple,0,60276,0
Rose,1,1,0,0,Orange,0,60273,0
Rose,1,1,0,1,Yellow,0,60267,0
Rose,1,1,0,2,Yellow,0,60267,0
Rose,1,1,1,0,Red,0,60264,0
Rose,1,1,1,1,Pink,0,60270,0
Rose,1,1,1,2,White,0,60261,0
Rose,1,1,2,0,Red,0,60264,0
Rose,1,1,2,1,Pink,0,60270,0
Rose,1,1,2,2,Purple,0,60276,0
Rose,1,2,0,0,Orange,0,60273,0
